Lasso Coefficients,features
0,RoofStyle_Flat
-1.47496502524e-05,MasVnrArea
-0.0006835509,LowQualFinSF
-0.0008062376,Functional_Maj1
-0.0013804866,ExterCond_Fa
-0.0014720987,BsmtFinType1_BLQ
-0.0017800153,MoSold
-0.0018957336,BsmtFinSF2
-0.002047761,MiscVal
-0.0022065114,2ndFlrSF
-0.0022463328,Neighborhood_MeadowV
-0.0024073478,BsmtUnfSF
-0.0025269775,Neighborhood_NAmes
-0.0026466171,Alley_Grvl
-0.0032469206,FireplaceQu_Fa
-0.003376875,HouseStyle_2Story
-0.003900623,YrSold
-0.005626412,Exterior2nd_Plywood
-0.0067690094,HeatingQC_TA
-0.007169771,Condition1_Artery
-0.0083565492,ExterQual_TA
-0.0087973376,Neighborhood_Timber
-0.0095403037,BsmtQual_TA
-0.0101696273,KitchenQual_TA
-0.0113615174,MSSubClass
-0.0121441402,LandContour_Bnk
-0.0125643372,Neighborhood_NWAmes
-0.0126938841,BsmtFinType2_BLQ
-0.0129138152,GarageQual_Fa
-0.0129326904,BsmtExposure_No
-0.0129731285,LotShape_IR3
-0.0134959865,BsmtFinType1_LwQ
-0.0144201901,BedroomAbvGr
-0.0149306041,SaleType_WD
-0.0154879661,Neighborhood_OldTown
-0.018196541,LotConfig_FR2
-0.0216981483,Fence_GdWo
-0.0269564201,GarageCond_Fa
-0.0274935185,SaleCondition_Family
-0.0277406205,BldgType_Duplex
-0.0279527924,KitchenAbvGr
-0.0281555792,Exterior1st_Wd Sdng
-0.0291398344,Neighborhood_Mitchel
-0.0299841061,MSZoning_RM
-0.0321469265,Foundation_BrkTil
-0.0346250362,CentralAir_N
-0.0366095839,Condition1_RRAe
-0.0411666007,Neighborhood_Edwards
-0.0592700953,Heating_Grav
-0.0652125949,SaleCondition_Abnorml
-0.08704682,Functional_Maj2
-0.3312318816,MSZoning_C (all)
-1.1150375606,RoofMatl_ClyTile
